company,period,item,value,unit,value_mn_tl
KOC_STELLANTIS,2024/12,Brüt Kâr (Zarar),890161,1000TL,890.161
KOC_STELLANTIS,2024/12,Esas Faaliyet Gelirleri,7482390,1000TL,7482.39
KOC_STELLANTIS,2024/12,Finansman Giderleri,-6592229,1000TL,-6592.229
KOC_STELLANTIS,2024/12,Net Faaliyet Kârı (Zararı),1009474,1000TL,1009.474
KOC_STELLANTIS,2024/12,Varlıklar Toplamı,20286449,1000TL,20286.449
KOC_STELLANTIS,2024/12,Özkaynaklar,1401727,1000TL,1401.727
KOC_STELLANTIS,2024/12,İhraç Edilen Menkul Kıymetler (Net),2967755,1000TL,2967.755
KOC_STELLANTIS,2025/12,Alınan Krediler,36355758,1000TL,36355.758
KOC_STELLANTIS,2025/12,Brüt Kâr (Zarar),1341366,1000TL,1341.366
KOC_STELLANTIS,2025/12,Esas Faaliyet Gelirleri,10928445,1000TL,10928.445
KOC_STELLANTIS,2025/12,Finansman Giderleri,-9587079,1000TL,-9587.079
KOC_STELLANTIS,2025/12,Net Faaliyet Kârı (Zararı),1328776,1000TL,1328.776
KOC_STELLANTIS,2025/12,Varlıklar Toplamı,48678320,1000TL,48678.32
KOC_STELLANTIS,2025/12,Özkaynaklar,2070812,1000TL,2070.812
KOC_STELLANTIS,2025/12,İhraç Edilen Menkul Kıymetler (Net),5213292,1000TL,5213.292
KOC_STELLANTIS,2026/06,Alınan Krediler,40229949,1000TL,40229.949
KOC_STELLANTIS,2026/06,Brüt Kâr (Zarar),1594295,1000TL,1594.295
KOC_STELLANTIS,2026/06,Esas Faaliyet Gelirleri,10294980,1000TL,10294.98
KOC_STELLANTIS,2026/06,Finansman Giderleri,-8700685,1000TL,-8700.685
KOC_STELLANTIS,2026/06,Net Faaliyet Kârı (Zararı),1630504,1000TL,1630.504
KOC_STELLANTIS,2026/06,Varlıklar Toplamı,54293702,1000TL,54293.702
KOC_STELLANTIS,2026/06,Özkaynaklar,3191929,1000TL,3191.929
KOC_STELLANTIS,2026/06,İhraç Edilen Menkul Kıymetler (Net),5473364,1000TL,5473.364
MERCEDES,2023/12,Alınan Krediler,11790798,1000TL,11790.798
MERCEDES,2023/12,Brüt Kâr (Zarar),-35552,1000TL,-35.552
MERCEDES,2023/12,Esas Faaliyet Gelirleri,2716807,1000TL,2716.807
MERCEDES,2023/12,Finansman Giderleri,-2752359,1000TL,-2752.359
MERCEDES,2023/12,Net Faaliyet Kârı (Zararı),389615,1000TL,389.615
MERCEDES,2023/12,Varlıklar Toplamı,14552801,1000TL,14552.801
MERCEDES,2023/12,Özkaynaklar,984500,1000TL,984.5
MERCEDES,2023/12,İhraç Edilen Menkul Kıymetler (Net),1317426,1000TL,1317.426
MERCEDES,2024/12,Alınan Krediler,19690120,1000TL,19690.12
MERCEDES,2024/12,Brüt Kâr (Zarar),966807,1000TL,966.807
MERCEDES,2024/12,Esas Faaliyet Gelirleri,6703550,1000TL,6703.55
MERCEDES,2024/12,Finansman Giderleri,-5736743,1000TL,-5736.743
MERCEDES,2024/12,Net Faaliyet Kârı (Zararı),958071,1000TL,958.071
MERCEDES,2024/12,Varlıklar Toplamı,24758197,1000TL,24758.197
MERCEDES,2024/12,Özkaynaklar,1857193,1000TL,1857.193
MERCEDES,2024/12,İhraç Edilen Menkul Kıymetler (Net),1975968,1000TL,1975.968
MERCEDES,2025/12,Alınan Krediler,38959274,1000TL,38959.274
MERCEDES,2025/12,Brüt Kâr (Zarar),1464503,1000TL,1464.503
MERCEDES,2025/12,Esas Faaliyet Gelirleri,12950902,1000TL,12950.902
MERCEDES,2025/12,Finansman Giderleri,-11486399,1000TL,-11486.399
MERCEDES,2025/12,Net Faaliyet Kârı (Zararı),1578950,1000TL,1578.95
MERCEDES,2025/12,Varlıklar Toplamı,46657644,1000TL,46657.644
MERCEDES,2025/12,Özkaynaklar,2851101,1000TL,2851.101
MERCEDES,2025/12,İhraç Edilen Menkul Kıymetler (Net),3042066,1000TL,3042.066
MERCEDES,2026/06,Alınan Krediler,38696142,1000TL,38696.142
MERCEDES,2026/06,Brüt Kâr (Zarar),955886,1000TL,955.886
MERCEDES,2026/06,Esas Faaliyet Gelirleri,8571414,1000TL,8571.414
MERCEDES,2026/06,Finansman Giderleri,-7615528,1000TL,-7615.528
MERCEDES,2026/06,Net Faaliyet Kârı (Zararı),1098921,1000TL,1098.921
MERCEDES,2026/06,Varlıklar Toplamı,46669244,1000TL,46669.244
MERCEDES,2026/06,Özkaynaklar,3602397,1000TL,3602.397
MERCEDES,2026/06,İhraç Edilen Menkul Kıymetler (Net),2640697,1000TL,2640.697
ORFIN,2023/12,Alınan Krediler,7038875287,TL,7038.875287
ORFIN,2023/12,Brüt Kâr (Zarar),273472727,TL,273.472727
ORFIN,2023/12,Esas Faaliyet Gelirleri,2381438871,TL,2381.438871
ORFIN,2023/12,Finansman Giderleri,-2107966144,TL,-2107.966144
ORFIN,2023/12,Net Faaliyet Kârı (Zararı),314288484,TL,314.288484
ORFIN,2023/12,Varlıklar Toplamı,10743478233,TL,10743.478233
ORFIN,2023/12,Özkaynaklar,863794144,TL,863.794144
ORFIN,2023/12,İhraç Edilen Menkul Kıymetler (Net),1752789703,TL,1752.789703
ORFIN,2024/12,Alınan Krediler,10642918786,TL,10642.918786
ORFIN,2024/12,Brüt Kâr (Zarar),402643461,TL,402.643461
ORFIN,2024/12,Esas Faaliyet Gelirleri,5453115639,TL,5453.115639
ORFIN,2024/12,Finansman Giderleri,-5050472178,TL,-5050.472178
ORFIN,2024/12,Net Faaliyet Kârı (Zararı),746655306,TL,746.655306
ORFIN,2024/12,Varlıklar Toplamı,15169671432,TL,15169.671432
ORFIN,2024/12,Özkaynaklar,1979897189,TL,1979.897189
ORFIN,2024/12,İhraç Edilen Menkul Kıymetler (Net),1131141799,TL,1131.141799
ORFIN,2025/12,Alınan Krediler,13535885,1000TL,13535.885
ORFIN,2025/12,Brüt Kâr (Zarar),1720363,1000TL,1720.363
ORFIN,2025/12,Esas Faaliyet Gelirleri,7646872,1000TL,7646.872
ORFIN,2025/12,Finansman Giderleri,-5926509,1000TL,-5926.509
ORFIN,2025/12,Net Faaliyet Kârı (Zararı),1873075,1000TL,1873.075
ORFIN,2025/12,Varlıklar Toplamı,21190417,1000TL,21190.417
ORFIN,2025/12,Özkaynaklar,3284415,1000TL,3284.415
ORFIN,2025/12,İhraç Edilen Menkul Kıymetler (Net),2538201,1000TL,2538.201
ORFIN,2026/06,Alınan Krediler,12397505,1000TL,12397.505
ORFIN,2026/06,Brüt Kâr (Zarar),1050779,1000TL,1050.779
ORFIN,2026/06,Esas Faaliyet Gelirleri,4162130,1000TL,4162.13
ORFIN,2026/06,Finansman Giderleri,-3111351,1000TL,-3111.351
ORFIN,2026/06,Net Faaliyet Kârı (Zararı),1172775,1000TL,1172.775
ORFIN,2026/06,Varlıklar Toplamı,22023486,1000TL,22023.486
ORFIN,2026/06,Özkaynaklar,4095507,1000TL,4095.507
ORFIN,2026/06,İhraç Edilen Menkul Kıymetler (Net),2512473,1000TL,2512.473
TEB,2023/12,Alınan Krediler,1506133,1000TL,1506.133
TEB,2023/12,Brüt Kâr (Zarar),210887,1000TL,210.887
TEB,2023/12,Esas Faaliyet Gelirleri,1103859,1000TL,1103.859
TEB,2023/12,Finansman Giderleri,-892972,1000TL,-892.972
TEB,2023/12,Net Faaliyet Kârı (Zararı),238897,1000TL,238.897
TEB,2023/12,Varlıklar Toplamı,3269368,1000TL,3269.368
TEB,2023/12,Özkaynaklar,724058,1000TL,724.058
TEB,2023/12,İhraç Edilen Menkul Kıymetler (Net),643861,1000TL,643.861
TEB,2024/12,Alınan Krediler,2846108,1000TL,2846.108
TEB,2024/12,Brüt Kâr (Zarar),374997,1000TL,374.997
TEB,2024/12,Esas Faaliyet Gelirleri,1587353,1000TL,1587.353
TEB,2024/12,Finansman Giderleri,-1212356,1000TL,-1212.356
TEB,2024/12,Net Faaliyet Kârı (Zararı),312318,1000TL,312.318
TEB,2024/12,Varlıklar Toplamı,6099502,1000TL,6099.502
TEB,2024/12,Özkaynaklar,928857,1000TL,928.857
TEB,2024/12,İhraç Edilen Menkul Kıymetler (Net),1360708,1000TL,1360.708
TEB,2025/12,Alınan Krediler,3177358,1000TL,3177.358
