company,period,metric_id,metric,value
Hedef,2025/06,depreciation,Depreciation,1377066696.0
Hedef,2025/06,operational_profit,Operational Profit,-595909899.0
Hedef,2024/12,used_car_sales,Used Car Sales,21159076069.1712
Hedef,2024/12,cost_of_uc_sales,Cost of UC Sales,19221415768.7296
Hedef,2024/12,uc_sale_profit,UC Sale Profit,2281788769.8000293
Hedef,2024/12,leased_assets_net,Leased Assets - Net,23815025483.4688
Hedef,2024/12,impairment,Impairment,-1124983314.0736
Hedef,2024/12,shareholders_equity,Shareholders' Equity,12030593415.2704
Hedef,2024/12,profit_before_tax,Profit Before Tax,-2961480840.8064
Hedef,2024/12,profit_after_tax,Profit After Tax,-2045882003.0464
Hedef,2024/12,borrowings,Borrowings,13233667503.4112
Hedef,2024/12,interest_expense,Interest Expense,-5707927463.2192
Hedef,2024/12,depreciation,Depreciation,2662177023.5392
Hedef,2024/12,operational_profit,Operational Profit,-2959939561.6600327
Garanti,2026/06,used_car_sales,Used Car Sales,4912062862.0
Garanti,2026/06,cost_of_uc_sales,Cost of UC Sales,5305858208.0
Garanti,2026/06,uc_sale_profit,UC Sale Profit,-393795346.0
Garanti,2026/06,leased_assets_net,Leased Assets - Net,45898734922.0
Garanti,2026/06,impairment,Impairment,116951060.0
Garanti,2026/06,shareholders_equity,Shareholders' Equity,25422895016.0
Garanti,2026/06,profit_before_tax,Profit Before Tax,-1039176907.0
Garanti,2026/06,profit_after_tax,Profit After Tax,-1401112088.0
Garanti,2026/06,borrowings,Borrowings,18364428977.0
Garanti,2026/06,interest_expense,Interest Expense,3322436658.0
Garanti,2026/06,depreciation,Depreciation,4923315428.0
Garanti,2026/06,operational_profit,Operational Profit,4277933867.0
Garanti,2025/12,used_car_sales,Used Car Sales,10582152960.1536
Garanti,2025/12,cost_of_uc_sales,Cost of UC Sales,10528988753.8176
Garanti,2025/12,uc_sale_profit,UC Sale Profit,62606169.38127412
Garanti,2025/12,leased_assets_net,Leased Assets - Net,47871607222.0672
Garanti,2025/12,impairment,Impairment,-352832318.6908365
Garanti,2025/12,shareholders_equity,Shareholders' Equity,26867522154.496
Garanti,2025/12,profit_before_tax,Profit Before Tax,-3554660053.7599998
Garanti,2025/12,profit_after_tax,Profit After Tax,-2121764487.424
Garanti,2025/12,borrowings,Borrowings,18735523450.0608
Garanti,2025/12,interest_expense,Interest Expense,-10393318232.6784
Garanti,2025/12,depreciation,Depreciation,9518758778.4704
Garanti,2025/12,operational_profit,Operational Profit,8927274032.64907
Garanti,2025/06,used_car_sales,Used Car Sales,6875252991.0
Garanti,2025/06,cost_of_uc_sales,Cost of UC Sales,6087280713.0624
Garanti,2025/06,uc_sale_profit,UC Sale Profit,787972277.9376001
Garanti,2025/06,leased_assets_net,Leased Assets - Net,42340331769.1904
Garanti,2025/06,impairment,Impairment,825888656.2304
Garanti,2025/06,shareholders_equity,Shareholders' Equity,24378812775.4752
Garanti,2025/06,profit_before_tax,Profit Before Tax,2132826411.0
Garanti,2025/06,profit_after_tax,Profit After Tax,1499252894.1568
Garanti,2025/06,borrowings,Borrowings,4010000000.0
Garanti,2025/06,interest_expense,Interest Expense,6184378318.0
Garanti,2025/06,depreciation,Depreciation,5647671766.0
Garanti,2025/06,operational_profit,Operational Profit,6992525899.0624
Garanti,2024/12,used_car_sales,Used Car Sales,10762815872.5632
Garanti,2024/12,cost_of_uc_sales,Cost of UC Sales,11213675660.4928
Garanti,2024/12,uc_sale_profit,UC Sale Profit,-530932486.2658967
Garanti,2024/12,leased_assets_net,Leased Assets - Net,50683522119.6288
Garanti,2024/12,impairment,Impairment,-926549808.8448
Garanti,2024/12,shareholders_equity,Shareholders' Equity,23693013211.0848
Garanti,2024/12,profit_before_tax,Profit Before Tax,-4598603949.312
Garanti,2024/12,profit_after_tax,Profit After Tax,-3335664443.136
Garanti,2024/12,borrowings,Borrowings,25982615344.5888
Garanti,2024/12,interest_expense,Interest Expense,-11183817849.1904
Garanti,2024/12,depreciation,Depreciation,7474803004.0064
Garanti,2024/12,operational_profit,Operational Profit,5686571713.164855
TEB Arval,2025/12,used_car_sales,Used Car Sales,6421492972.6463995
TEB Arval,2025/12,cost_of_uc_sales,Cost of UC Sales,5795653751.4496
TEB Arval,2025/12,uc_sale_profit,UC Sale Profit,736988266.8813509
